year,Site_Name,Number_of_Sites,Number_of_Items_Found,Percentage_of_National_total_waste,Average_number_of_items_per_site
2014,Parks,156,33895.5,14,217
2014,Roadway,132,60439,25,458
2014,Waterways,113,31385.1,13,278
2014,Beach/Coastal,94,38095.9,16,405
2014,Bushland,89,28708,12,323
2014,Other,52,17125,7,329
2014,School Grounds,46,3077,1,67
2014,Shops/malls,18,9756.9,4,542
2014,Dive Site,3,770,0,257
2014,Outdoor Transport,2,18419.9,8,9210
2015,Waterways,133,42467,16,319
2015,Parks,215,60581,22,282
2015,Beach/Coastal,98,35020,13,357
2015,Roadway,174,56870,21,327
2015,Bushland,114,34297,13,301
2015,School Grounds,81,20227,7,250
2015,Outdoor Transport,3,1811,1,604
2015,Shops/malls,25,8406,3,336
2015,Dive Site,2,244,0,122
2015,Other,52,12255,5,236
2016,Waterways,88,26280,17,299
2016,Parks,123,28721,19,234
2016,Beach/Coastal,105,17412,12,166
2016,Roadway,111,31319,21,282
2016,Bushland,54,12738,8,236
2016,School Grounds,163,21489,14,132
2016,Outdoor Transport,7,2011,1,287
2016,Shops/malls,9,1691,1,188
2016,Dive Site,1,52,0,52
2016,Other,39,8645,6,222
2017,Waterways,130,70320,17,541
2017,Parks,211,104995,25,498
2017,Beach/Coastal,113,40325,10,357
2017,Roadway,171,79928,19,467
2017,Bushland,117,49294,12,421
2017,School Grounds,77,18297,4,238
2017,Outdoor Transport,6,4067,1,678
2017,Shops/malls,23,18687,4,812
2017,Dive Site,2,1445,0,723
2017,Other,57,34428,8,604
2018,Waterways,144,62327,15,433
2018,Parks,208,86278,21,415
2018,Beach/Coastal,140,69170,16,494
2018,Roadway,152,57469,14,378
2018,Bushland,113,45858,11,406
2018,School Grounds,67,35356,8,528
2018,Outdoor Transport,5,7512,2,1502
2018,Shops/malls,18,7436,2,413
2018,Dive Site,4,6314,2,1578
2018,Other,44,42545,10,967
2019,Waterways,189,74314,17,393
2019,Parks,209,96454,22,462
2019,Beach/Coastal,153,82069,18,536
2019,Roadway,154,63396,14,412
2019,Bushland,127,51014,11,402
2019,School Grounds,83,28850,6,348
2019,Outdoor Transport,6,3610,1,602
2019,Shops/malls,16,11790,3,737
2019,Dive Site,1,43,0,43
2019,Other,64,33711,8,527
